day,state,fips,cases,deaths,year,month
2020-09-30,Oklahoma,40,87199,1031,2020,9
2020-09-30,Oregon,41,33554,560,2020,9
2020-09-30,Pennsylvania,42,164135,8216,2020,9
2020-09-30,Puerto Rico,72,48755,661,2020,9
2020-09-30,Rhode Island,44,24748,1114,2020,9
2020-09-30,South Carolina,45,147942,3378,2020,9
2020-09-30,South Dakota,46,22389,223,2020,9
2020-09-30,Tennessee,47,193357,2429,2020,9
2020-09-30,Texas,48,784027,16102,2020,9
2020-09-30,Utah,49,73053,460,2020,9
2020-09-30,Vermont,50,1752,58,2020,9
2020-09-30,Virgin Islands,78,1318,20,2020,9
2020-09-30,Virginia,51,148271,3208,2020,9
2020-09-30,Washington,53,91560,2222,2020,9
2020-09-30,West Virginia,54,15848,350,2020,9
2020-09-30,Wisconsin,55,129172,1338,2020,9
2020-09-30,Wyoming,56,5948,50,2020,9
2020-10-31,Alabama,1,192285,2967,2020,10
2020-10-31,Alaska,2,16247,77,2020,10
2020-10-31,Arizona,4,245962,5979,2020,10
2020-10-31,Arkansas,5,112190,1925,2020,10
2020-10-31,California,6,935248,17661,2020,10
2020-10-31,Colorado,8,107844,2309,2020,10
2020-10-31,Connecticut,9,71207,4616,2020,10
2020-10-31,Delaware,10,24951,708,2020,10
2020-10-31,District of Columbia,11,17266,646,2020,10
2020-10-31,Florida,12,802539,16760,2020,10
2020-10-31,Georgia,13,372631,7790,2020,10
2020-10-31,Guam,66,5650,80,2020,10
2020-10-31,Hawaii,15,15207,218,2020,10
2020-10-31,Idaho,16,64797,630,2020,10
2020-10-31,Illinois,17,416557,10030,2020,10
2020-10-31,Indiana,18,181837,4332,2020,10
2020-10-31,Iowa,19,128798,1716,2020,10
2020-10-31,Kansas,20,86771,1029,2020,10
2020-10-31,Kentucky,21,109244,1551,2020,10
2020-10-31,Louisiana,22,186649,5919,2020,10
2020-10-31,Maine,23,6668,147,2020,10
2020-10-31,Maryland,24,145593,4147,2020,10
2020-10-31,Massachusetts,25,158576,9991,2020,10
2020-10-31,Michigan,26,197164,7699,2020,10
2020-10-31,Minnesota,27,148526,2511,2020,10
2020-10-31,Mississippi,28,120160,3334,2020,10
2020-10-31,Missouri,29,189925,3090,2020,10
2020-10-31,Montana,30,32801,377,2020,10
2020-10-31,Nebraska,31,70732,652,2020,10
2020-10-31,Nevada,32,100844,1779,2020,10
2020-10-31,New Hampshire,33,11084,483,2020,10
2020-10-31,New Jersey,34,239679,16350,2020,10
2020-10-31,New Mexico,35,46490,1018,2020,10
2020-10-31,New York,36,512223,33152,2020,10
2020-10-31,North Carolina,37,274805,4400,2020,10
2020-10-31,North Dakota,38,43921,529,2020,10
2020-10-31,Northern Mariana Islands,69,92,2,2020,10
2020-10-31,Ohio,39,215697,5301,2020,10
2020-10-31,Oklahoma,40,122762,1337,2020,10
2020-10-31,Oregon,41,44923,690,2020,10
2020-10-31,Pennsylvania,42,212816,8883,2020,10
2020-10-31,Puerto Rico,72,66128,822,2020,10
2020-10-31,Rhode Island,44,32874,1201,2020,10
2020-10-31,South Carolina,45,176612,3935,2020,10
2020-10-31,South Dakota,46,45992,425,2020,10
2020-10-31,Tennessee,47,256923,3322,2020,10
2020-10-31,Texas,48,953451,18549,2020,10
2020-10-31,Utah,49,114670,604,2020,10
2020-10-31,Vermont,50,2179,58,2020,10
2020-10-31,Virgin Islands,78,1376,21,2020,10
2020-10-31,Virginia,51,181190,3654,2020,10
2020-10-31,Washington,53,112580,2468,2020,10
2020-10-31,West Virginia,54,24460,457,2020,10
2020-10-31,Wisconsin,55,237870,2092,2020,10
2020-10-31,Wyoming,56,13298,87,2020,10
2020-11-30,Alabama,1,249524,3578,2020,11
2020-11-30,Alaska,2,32407,115,2020,11
2020-11-30,Arizona,4,327046,6640,2020,11
2020-11-30,Arkansas,5,157359,2502,2020,11
2020-11-30,California,6,1237192,19209,2020,11
2020-11-30,Colorado,8,234502,3060,2020,11
2020-11-30,Connecticut,9,117295,5020,2020,11
2020-11-30,Delaware,10,35654,772,2020,11
2020-11-30,District of Columbia,11,21552,680,2020,11
2020-11-30,Florida,12,999311,18596,2020,11
2020-11-30,Georgia,13,454328,9198,2020,11
2020-11-30,Guam,66,7821,113,2020,11
2020-11-30,Hawaii,15,18006,242,2020,11
2020-11-30,Idaho,16,102158,937,2020,11
2020-11-30,Illinois,17,727825,13015,2020,11
2020-11-30,Indiana,18,341694,5723,2020,11
2020-11-30,Iowa,19,230634,2426,2020,11
2020-11-30,Kansas,20,160428,1560,2020,11
2020-11-30,Kentucky,21,183255,2065,2020,11
2020-11-30,Louisiana,22,232414,6420,2020,11
2020-11-30,Maine,23,11757,194,2020,11
2020-11-30,Maryland,24,198710,4641,2020,11
2020-11-30,Massachusetts,25,226132,10748,2020,11
2020-11-30,Michigan,26,388364,9565,2020,11
2020-11-30,Minnesota,27,318822,3652,2020,11
2020-11-30,Mississippi,28,153270,3807,2020,11
2020-11-30,Missouri,29,314981,3981,2020,11
2020-11-30,Montana,30,62256,684,2020,11
2020-11-30,Nebraska,31,128433,1039,2020,11
2020-11-30,Nevada,32,152726,2149,2020,11
2020-11-30,New Hampshire,33,20994,526,2020,11
2020-11-30,New Jersey,34,339133,16993,2020,11
2020-11-30,New Mexico,35,97095,1568,2020,11
2020-11-30,New York,36,652748,34150,2020,11
2020-11-30,North Carolina,37,364968,5296,2020,11
2020-11-30,North Dakota,38,79258,933,2020,11
2020-11-30,Northern Mariana Islands,69,106,2,2020,11
2020-11-30,Ohio,39,421063,6429,2020,11
2020-11-30,Oklahoma,40,197745,1743,2020,11
2020-11-30,Oregon,41,75454,919,2020,11
2020-11-30,Pennsylvania,42,366971,10439,2020,11
2020-11-30,Puerto Rico,72,86160,1106,2020,11
2020-11-30,Rhode Island,44,56723,1373,2020,11
2020-11-30,South Carolina,45,217487,4381,2020,11
2020-11-30,South Dakota,46,80464,946,2020,11
2020-11-30,Tennessee,47,366412,4546,2020,11
2020-11-30,Texas,48,1262145,21968,2020,11
2020-11-30,Utah,49,195744,871,2020,11
2020-11-30,Vermont,50,4172,69,2020,11
2020-11-30,Virgin Islands,78,1544,23,2020,11
2020-11-30,Virginia,51,237835,4062,2020,11
2020-11-30,Washington,53,172175,2895,2020,11
2020-11-30,West Virginia,54,47842,735,2020,11
2020-11-30,Wisconsin,55,411730,3504,2020,11
2020-11-30,Wyoming,56,33305,215,2020,11
